,Weighted F1 Index - K Value,Accuracy Value,Weighted F1 Values,Test Accuracy,Test Weighted F1
ROS,110,0.7864444444444444,0.7804166250843831,0.7842222222222223,0.7745785060473459
RUS,285,0.7971111111111111,0.7895263709559748,0.7795555555555556,0.7771510902861016
CNN,57,0.8044444444444444,0.7911218251056841,0.7973333333333333,0.7871032461289672
No Sampling,26,0.8037777777777778,0.7729194043416215,0.8091111111111111,0.7846731194242301
SMOTE,413,0.7904444444444444,0.7844362876906228,0.7946666666666666,0.7876030441024159
