0,1,2,3,label
0.9168129,0.5861268,0.3459403,1.8718185,0.0
1.188316,0.70405924,0.31689546,2.0627713,1.0
4.0244875,0.4099241,2.1900342,1.055985,0.0
1.8258048,0.44656447,0.9455296,2.7765875,0.0
1.645865,0.38891542,1.0599328,2.7012224,0.0
0.9992794,0.56064564,0.2080184,1.9028728,0.0
0.9229007,0.6045283,0.37282655,1.9104927,0.0
2.4391024,0.9500648,1.0760767,3.0557342,1.0
0.42878714,0.28918585,0.47813174,1.751727,0.0
3.2743697,0.9053471,1.8876257,0.44165507,1.0
3.8981183,0.43949658,2.4652812,1.0759971,0.0
4.0503774,0.5887497,2.370139,1.1622554,0.0
3.0067148,0.5827507,1.9875194,0.3439283,0.0
4.3017607,0.49949116,2.5615125,1.1084565,0.0
1.8569491,0.55439246,1.0762197,2.761407,1.0
2.9020376,0.5745785,1.8553995,0.2925191,0.0
0.7120316,0.30193937,0.20492424,1.8239151,0.0
1.7519516,0.55668306,1.1646996,2.867044,1.0
3.5804718,0.1781804,2.3879688,0.9509242,0.0
2.5373905,0.16293249,1.573214,0.020730674,0.0
1.9929756,0.66629183,0.96354944,2.8665514,0.0
4.281679,0.60084194,2.3148494,1.1513484,0.0
2.9718063,0.50852215,1.6361779,0.21284097,0.0
0.34299225,0.31508952,0.5418298,1.8366807,0.0
0.6389386,0.46804345,0.5500787,1.8717813,1.0
3.9839249,0.35740334,2.2213056,1.0355219,0.0
3.8883755,0.46041983,2.332392,1.098396,0.0
0.97580034,0.599113,0.41170606,1.9435698,0.0
2.222094,0.7437335,0.9502227,2.8547063,1.0
4.3297143,0.5001676,2.0938923,1.0668101,0.0
3.072801,0.52813846,1.7050076,0.29758573,0.0
4.2235866,0.3918376,2.1216297,1.0142845,0.0
3.002736,0.601915,2.045298,0.29641572,1.0
3.9429362,0.5215379,2.291102,1.1242666,0.0
1.9993254,0.7541535,1.3379626,3.1231909,0.0
0.9921459,0.63750225,0.34730902,1.8838062,0.0
0.95976555,0.76010513,0.70357794,2.3413672,0.0
0.8157034,0.5023031,0.49379548,2.0085502,0.0
2.9075234,0.3123765,1.4863502,0.061742753,0.0
4.1070256,0.47936732,2.2041519,1.082138,0.0
2.709728,0.30063924,1.4766024,0.15860707,0.0
3.687058,0.2915312,2.314571,1.0103884,0.0
1.935555,0.6728095,1.209111,2.948523,1.0
1.6913264,0.37752956,0.9736726,2.7951555,0.0
1.6934829,0.3709731,0.94544005,2.7624874,1.0
2.803602,0.34382832,1.6306986,0.18439652,0.0
4.151756,0.69967645,2.3296185,1.2044752,1.0
1.9702495,0.5657728,1.0084895,2.885458,0.0
4.4595747,0.76812494,2.2660146,1.2251487,0.0
2.1366527,0.8013002,1.1719621,2.9357696,1.0
0.9898051,0.5637758,0.3258678,1.833412,0.0
1.7571368,0.472756,1.0657364,2.727398,0.0
2.642846,0.24291828,1.4747269,0.12908798,0.0
1.5771819,0.3667857,1.1006999,2.7439075,0.0
2.4701607,0.24639076,1.6813768,0.14708596,0.0
0.88893473,0.4266401,0.1985956,1.8495507,0.0
0.5685048,0.23020527,0.2698588,1.6877162,0.0
0.5448818,0.24380073,0.17934439,1.7971975,0.0
1.6259218,0.23929858,0.78316396,2.7421365,0.0
4.0031257,0.39883053,2.1960104,1.0231209,0.0
3.9902809,0.3983875,2.1925027,1.0063235,0.0
3.872558,0.27420485,2.2136052,0.9813949,0.0
1.2055634,0.7818582,0.26933497,2.0368016,0.0
1.8427659,0.5717666,0.9649554,2.8524008,0.0
2.8906167,0.55732733,1.8324519,0.31827033,0.0
0.81510127,0.44213688,0.22277875,1.8887837,0.0
1.9008509,0.6403635,1.2418303,2.981493,0.0
3.019356,0.5565462,1.6101863,0.24937509,1.0
1.9982086,0.5839119,0.79739565,2.8553896,0.0
2.9429984,0.5005355,1.6085656,0.20139816,0.0
2.3751867,0.8998134,1.0805485,3.048253,0.0
1.0390705,0.70263743,0.3848962,1.9425719,0.0
4.040338,0.4215634,2.186151,1.0571041,0.0
1.9771187,0.5169066,0.8685013,2.9030309,0.0
1.091224,0.67452943,0.37937105,1.9208883,1.0
0.82927275,0.6347486,0.55480593,1.9215989,0.0
3.2836933,0.88268805,1.8862258,0.48300272,1.0
0.6793176,0.38441217,0.3046899,1.7737163,1.0
4.0615635,0.42452514,2.2226064,1.069264,1.0
2.7933726,0.3185376,1.7136987,0.1629228,0.0
3.557695,0.729258,1.7124417,0.3808668,0.0
2.705587,0.436012,1.6873343,0.27127564,1.0
3.3247857,0.9116175,1.593543,3.9119487,1.0
1.7623328,0.34378147,0.83382344,2.8195243,0.0
4.3647885,0.5215643,2.1253004,1.06898,1.0
0.85268587,0.4230702,0.2169814,1.8734872,0.0
0.82592577,0.3814472,0.1980369,1.838468,0.0
3.0638258,0.44407392,1.4301755,0.16323516,0.0
4.2983847,0.4167524,2.2396395,1.0272441,0.0
0.9217179,0.6224259,0.53606445,2.085575,0.0
2.6615674,0.20933697,1.6068352,0.14359745,0.0
2.9999743,0.48005882,1.8267688,0.21145017,0.0
2.002032,0.5662691,0.9237833,2.7851415,1.0
3.6814985,0.29296762,2.3046792,1.0035144,0.0
1.0051694,0.5748184,0.23264277,1.9366968,0.0
2.0240903,0.6580281,1.2200836,3.1544995,1.0
3.6619728,0.25109255,2.3279834,1.0117431,0.0
1.016949,0.5639992,0.2273707,1.9236916,0.0
4.049897,0.2796654,1.9830962,0.9628456,0.0
4.0185986,0.42301834,2.1774058,1.0286193,1.0
2.868639,0.44760457,1.5843409,0.16560975,0.0
0.6099669,0.45884153,0.49500638,1.816808,0.0
1.0982535,0.68329346,0.23227409,1.96399,0.0
3.0009367,0.5195055,1.6740732,0.22332434,0.0
2.6022694,0.37063432,1.7315277,0.1727418,0.0
1.6535167,0.3849291,1.0399798,2.6782088,0.0
1.8673568,0.5700594,1.0947706,2.789712,1.0
1.0133588,0.6840679,0.3912023,1.9523354,0.0
2.8828628,0.36072832,1.3539201,3.6867285,0.0
0.5905332,0.47445288,0.6090482,1.9423666,0.0
4.0890985,0.47940576,2.1449392,1.0755845,1.0
0.84912676,0.4475095,0.22239871,1.8856715,1.0
0.9989145,0.74915564,0.5020167,2.097002,0.0
1.0001086,0.86797386,1.0015323,2.5183678,0.0
1.0158623,0.6479188,0.5020672,2.0638902,0.0
1.6429361,0.33070877,0.9490765,2.7553873,0.0
1.5972396,0.25412375,0.9510852,2.7314,0.0
3.100155,0.44694263,1.4347799,0.20590651,0.0
1.8884609,0.661395,1.2951517,3.0488815,0.0
4.0968385,0.5313335,2.5929115,1.1590681,0.0
2.9830966,0.46300226,1.746561,0.23132795,0.0
0.9531279,0.6616709,0.5778217,2.1526995,0.0
0.6845705,0.1888732,0.046033755,1.8109001,0.0
1.9260877,0.5009483,0.9311897,2.775034,1.0
3.6997707,0.29856947,2.392968,0.9829563,0.0
1.1478299,0.81093276,0.39414108,1.9835575,1.0
0.9382183,0.8325193,1.0363115,2.5335789,0.0
1.8787204,0.5723332,1.1008258,2.796669,0.0
2.0059137,0.58478284,0.94557565,2.8139462,0.0
0.5358287,0.33983114,0.4555572,1.73544,0.0
0.63699615,0.4967066,0.57307076,1.9092816,0.0
4.6532216,0.8244025,2.1367173,1.1492163,1.0
4.2871046,0.52355266,2.5023427,1.1258049,0.0
1.5986404,0.26326177,0.90967155,2.693215,0.0
2.0903237,0.6410236,0.96035695,2.84208,0.0
0.9489962,0.5867286,0.35734028,1.8823233,0.0
1.8959134,0.6670997,1.2870877,3.0441637,0.0
1.8753134,0.5088649,0.98634046,2.8407345,0.0
1.6514684,0.24131635,0.88038105,3.0510826,0.0
2.027015,0.48201093,0.81449467,2.8337474,0.0
4.036967,0.42493045,2.2013671,1.0418738,0.0
3.2023776,0.570971,1.9212599,0.32638657,0.0
1.703436,0.32470238,0.8741229,2.6695814,0.0
3.8414223,0.09958613,1.9845752,0.8682455,0.0
2.7812288,0.2135104,1.3788317,0.03172207,0.0
1.7632704,0.50567746,1.1517316,2.8356428,0.0
3.1569827,0.53788006,1.5124753,0.13998055,1.0
1.8137145,0.45901427,0.99596316,2.8386374,0.0
4.0103106,0.40981674,2.125565,1.0622294,0.0
3.868767,0.45691812,2.262957,1.104975,0.0
1.8514643,0.5664662,1.1317323,2.8325057,0.0
2.0572762,0.49862334,0.7974921,2.8159895,0.0
2.3416924,0.8609675,1.0095813,2.953524,1.0
0.68154085,0.3993626,0.4915137,1.9665736,1.0
1.9390693,0.61990345,1.1153475,3.0292964,0.0
3.483134,0.90057075,1.7176046,0.4724057,1.0
1.816786,0.5993822,1.2329241,2.949738,0.0
0.8898512,0.6344644,0.4850466,2.0441134,0.0
0.6720433,0.4767378,0.5784575,1.8993219,0.0
0.91724455,0.6886509,0.6887132,2.2933793,0.0
1.6000905,0.3454579,1.0534582,2.6815972,0.0
3.1791117,0.4655219,1.6066287,0.20002958,1.0
2.0252802,0.54409873,0.8879333,2.9378443,0.0
3.063896,0.6058544,1.5669996,0.28338924,0.0
4.276174,0.642035,2.216511,1.1345747,1.0
0.75904685,0.43889338,0.3368249,1.818407,1.0
3.243549,0.84787357,1.8695842,0.4683473,1.0
1.4015416,0.24806067,1.1243002,2.7395062,0.0
2.0865417,0.66900456,0.9678297,2.8629627,0.0
1.4165556,0.23802492,1.101609,2.7094522,0.0
3.1814559,0.67498636,1.6387454,0.33734718,1.0
0.624032,0.5420551,0.5551643,1.9099754,0.0
2.9476564,0.45810446,1.7192703,0.20950432,0.0
0.43569654,0.28289148,0.46439242,1.7335186,0.0
0.44144917,0.282784,0.4736653,1.7426393,0.0
1.0549139,0.6566555,0.43006232,2.185897,1.0
1.8226796,0.58843607,1.2295371,2.938973,0.0
0.5688551,0.40901726,0.48181528,1.7875367,1.0
1.8734065,0.5664494,1.0930009,2.7853045,0.0
1.6378857,0.4422201,1.1414448,2.8084364,0.0
1.717866,0.4485284,1.0669484,2.7244864,0.0
4.013504,0.41592872,2.157616,1.0428156,0.0
0.66647774,0.5151045,0.60900366,1.949375,0.0
4.0918927,0.48972976,2.2187207,1.0374486,0.0
2.7709258,0.4561769,1.8547888,0.26185927,0.0
4.2152066,0.5638932,2.3160353,1.0838192,0.0
1.054267,0.59785664,0.29716125,2.0139966,0.0
1.6789151,0.3332253,0.9146333,2.717248,1.0
2.1061215,0.7629031,1.125672,2.8730512,0.0
0.80273503,0.46543628,0.33991423,1.8311979,0.0
3.0306766,0.5544348,1.610193,0.27104226,0.0
1.939774,0.5446421,0.9940487,2.859016,0.0
2.0082726,0.6206541,1.0391618,2.9318743,0.0
1.848014,0.4333631,0.9205529,2.745696,0.0
0.9049787,0.6056438,0.37000063,1.9092638,0.0
4.130992,0.45886105,2.3454452,1.051502,1.0
0.91399086,0.54471695,0.34385365,1.8523895,0.0
2.3649275,0.8753545,0.9776602,2.9202404,0.0
4.0607634,0.43088967,2.2291827,1.0530951,1.0
3.9400547,0.19021422,2.0130045,0.8928652,0.0
0.51375693,0.25761008,0.32551056,1.7641162,0.0
4.31102,0.42187,2.2382014,1.0364994,0.0
0.9342296,0.57480305,0.32521895,1.8427894,0.0
3.1621158,0.55327845,1.8808668,0.3078398,0.0
3.9727297,0.47088778,2.5423934,1.1150258,0.0
2.0054615,0.64648163,0.9777688,2.8722124,1.0
4.0199738,0.4047814,2.2222528,1.0317814,0.0
1.6858045,0.49868873,1.1290449,2.8122396,0.0
0.93239754,0.5958102,0.41664776,1.9481238,0.0
3.004643,0.5470298,1.5448632,0.27383623,1.0
2.1230075,0.653579,0.9334749,2.817432,1.0
0.9063808,0.59293455,0.3458439,1.8766148,0.0
0.8924689,0.46915916,0.23108736,1.8962609,0.0
