0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
0.6499622,0.0,0.19069156,0.0,0.88178027,0.37252855,0.37244174,0.31795144,0.41803238,0.30993772,0.69287425,0.29639202,0.33792856,0.37028623,0.40866202,0.41765758,0.0
0.9914337,0.0,0.33770555,0.0,1.1688181,0.3263033,0.45068425,0.32732278,0.5822745,0.59370744,1.0039679,0.5195561,0.44400015,0.6291971,0.64000064,0.64241457,1.0
0.41738743,0.0,0.2552098,0.0,1.0902493,0.27537382,0.6277915,0.32280058,0.5961193,0.6382912,0.44681844,0.25509864,0.39051083,0.93445396,0.3683797,0.66698575,0.0
0.58009946,0.0,0.22103438,0.0,0.876561,0.28739226,0.40554613,0.33941117,0.5277126,0.50226235,0.59128326,0.19184071,0.33692962,0.3461874,0.46483687,0.69288415,0.0
0.38103527,0.0,0.14630583,0.0,0.67703027,0.19163585,0.31148285,0.23591535,0.5258532,0.3566702,0.3796861,0.19331098,0.24248153,0.16657123,0.37676808,0.5034674,0.0
0.82003367,0.0,0.2208263,0.0,0.9991663,0.41544464,0.50402606,0.35919225,0.41323313,0.44047165,0.8715881,0.33866006,0.42097548,0.45433825,0.4045068,0.50564253,0.0
0.68110204,0.0,0.18965623,0.0,0.9427291,0.37645808,0.39125693,0.33618605,0.4428693,0.33875105,0.71391934,0.3295308,0.33149073,0.37725103,0.42891356,0.4195561,0.0
0.80230755,0.0,0.25953028,0.0,1.3023925,0.43589386,0.5700404,0.37417808,0.9273701,0.384344,0.76675946,0.39379585,0.5880046,0.6220939,0.6833634,0.92164415,1.0
0.33911416,0.0,0.09926684,0.0,0.63909024,0.18950312,0.1900158,0.17897785,0.26145104,0.25222483,0.52510315,0.20548964,0.09026107,0.11359717,0.20784342,0.22697076,0.0
0.5145345,0.0,0.2820107,0.0,1.5004023,0.5858689,0.5550672,0.47093892,0.671959,0.47777927,0.653465,0.390228,0.4689314,1.0920992,0.5925153,0.4420472,1.0
0.2896739,0.0,0.24243575,0.0,1.2656255,0.39317963,0.49759808,0.2549372,0.5879059,0.68282896,0.43155307,0.2022509,0.40336704,0.85186744,0.3891752,0.59145993,0.0
0.28796524,0.0,0.19295989,0.0,1.186852,0.30627662,0.5809232,0.507204,0.60971767,0.5047763,0.3140817,0.21997383,0.35430756,0.92954344,0.51476675,0.63383716,0.0
0.5045448,0.0,0.28551528,0.0,1.4715524,0.18347733,0.39893776,0.39303586,0.5444504,0.49009246,0.3909137,0.41987798,0.14073241,0.91659737,0.31101695,0.48857498,0.0
0.78934526,0.0,0.2814477,0.0,1.599004,0.13444902,0.47633812,0.3903063,0.8278248,0.8498021,0.3792188,0.34299812,0.26981294,0.99195105,0.37698975,0.79171443,0.0
0.44462973,0.0,0.17603055,0.0,0.764629,0.24803254,0.34916258,0.27907133,0.6149623,0.3192314,0.40238658,0.23837021,0.32055232,0.2679417,0.49108157,0.57960683,1.0
0.40018523,0.0,0.21113792,0.0,1.2776629,0.41048345,0.49779242,0.38118634,0.5127339,0.5254773,0.56184816,0.35174417,0.26118687,0.8955765,0.3858477,0.30108833,0.0
0.7012803,0.0,0.24460399,0.0,0.8720649,0.28737715,0.35848892,0.2870099,0.3303978,0.4790812,0.88607895,0.27968708,0.26198542,0.36475426,0.16077244,0.5150451,0.0
0.40848565,0.0,0.17807873,0.0,1.0453866,0.42629156,0.38778153,0.24384469,0.6474472,0.40841398,0.55099267,0.34408286,0.5112515,0.2005997,0.30844122,0.57576674,1.0
0.18175206,0.0,0.2043179,0.0,1.0424154,0.2245522,0.48860005,0.2074845,0.4730268,0.6499801,0.38578206,0.111407004,0.2855965,0.6659441,0.20178059,0.39735425,0.0
0.37471053,0.0,0.19374156,0.0,1.0018628,0.41547206,0.5476715,0.33305785,0.20770666,0.6663025,0.54546857,0.21889499,0.23413628,0.69330674,0.10699219,0.12938678,0.0
0.65127033,0.0,0.20608994,0.0,1.1187251,0.51617527,0.549608,0.5786096,0.54279125,0.49177796,0.6066405,0.19367358,0.54681134,0.37003148,0.5901873,0.6331753,0.0
0.52437854,0.0,0.33398154,0.0,1.3624376,0.3858729,0.60299057,0.48274586,0.6700042,0.7203293,0.5859537,0.23894444,0.3985922,1.1467259,0.59796333,0.86983174,0.0
0.5361261,0.0,0.2516868,0.0,1.2261257,0.44778484,0.5771572,0.39662617,0.4287294,0.5901653,0.5813793,0.32109073,0.34847593,0.9276288,0.3290764,0.34949037,0.0
0.38106653,0.0,0.14499074,0.0,0.8664625,0.37964648,0.17459506,0.24024752,0.25486118,0.3851694,0.6653059,0.12372375,0.20863995,0.09918924,0.18514785,0.17823964,0.0
0.41647092,0.0,0.22164547,0.0,0.85468566,0.1886299,0.12939912,0.1738418,0.41634265,0.28185725,0.71755004,0.23945269,0.3491509,0.24396226,0.2908912,0.3087478,1.0
0.3784095,0.0,0.221418,0.0,1.1063781,0.14374194,0.6292505,0.37085333,0.5438473,0.67958045,0.48360282,0.30634582,0.443498,0.9067228,0.4095361,0.6200963,0.0
0.23313329,0.0,0.17839244,0.0,1.0889997,0.3995192,0.6455856,0.18524155,0.7016321,0.41652653,0.3353155,0.23475918,0.33735725,0.771887,0.1701724,0.533968,0.0
0.68061346,0.0,0.18080077,0.0,0.94992715,0.2230279,0.29557118,0.26516575,0.49571443,0.29402515,0.7148599,0.31295094,0.26630336,0.44090074,0.39756876,0.55203754,0.0
0.6741711,0.0,0.24060792,0.0,0.949216,0.43840304,0.42845097,0.4600338,0.6983595,0.43338162,0.5486223,0.32376942,0.45317423,0.52205265,0.595679,0.848571,1.0
0.70358884,0.0,0.3302982,0.0,1.1952535,0.42767417,0.7526859,0.36624673,0.7495945,0.8414611,0.60344857,0.4867471,0.44787824,1.1089996,0.4293746,0.8213348,0.0
0.53957313,0.0,0.2065178,0.0,1.2576255,0.22584854,0.561216,0.33160284,0.55470634,0.54194844,0.6682098,0.42138124,0.2263079,1.0393188,0.36666486,0.5178094,0.0
0.635086,0.0,0.26591983,0.0,1.2380886,0.26845348,0.79097956,0.38057786,0.64487636,0.78158337,0.6213934,0.37149566,0.42486075,1.0333095,0.4018577,0.7624296,0.0
0.5099749,0.0,0.19545928,0.0,1.5569602,0.4722631,0.55189073,0.45291665,0.62377584,0.64419645,0.70360523,0.41248375,0.18835554,0.9340712,0.41066182,0.33653635,1.0
0.2844818,0.0,0.18480885,0.0,0.9893048,0.36932918,0.57827663,0.35165906,0.67723167,0.53032196,0.22326949,0.37641233,0.37593818,0.81269836,0.32941395,0.50933653,0.0
0.68748945,0.0,0.18696058,0.0,1.3602703,0.20518237,0.44606656,0.27124998,0.9074229,0.4379131,0.7227944,0.33305293,0.33503234,0.4091447,0.6205092,0.7053313,0.0
0.7195273,0.0,0.28975272,0.0,0.8567715,0.4446556,0.33238423,0.2890521,0.46305668,0.3871276,0.7313007,0.3182007,0.29138604,0.46488798,0.52817273,0.48377424,0.0
0.9168708,0.0,0.17368895,0.0,1.6337484,0.37853453,0.43235314,0.42967543,0.7381882,0.62234867,1.1412022,0.49631488,0.315882,0.5330589,0.54029953,0.56481874,0.0
0.65228003,0.0,0.21577305,0.0,1.1387653,0.14937139,0.23525529,0.15758978,0.4587232,0.34601864,0.84237915,0.229974,0.29023325,0.41067386,0.30272374,0.59696364,0.0
0.5821854,0.0,0.19891942,0.0,1.2221656,0.5044178,0.66481215,0.39295164,0.25510132,0.74543566,0.72713816,0.24214807,0.40758976,0.9161526,0.24231437,0.36550835,0.0
